4904	遠傳
4906	正文
4977	眾達
4984	科納
5388	中磊
6136	富爾特
6142	友勁
6216	居易
6283	淳安
6285	啟
6442	光聖
8011	台通
1582	信錦
2059	川湖
2308	台達電
2313	華通
2327	國巨
2328	廣宇
2355	敬鵬
2383	台光電
2385	群光
2392	正崴
2415	錩新
2420	新巨
2421	建準
2428	興勤
2431	聯昌
2456	奇力新
2462	良得電
2467	志聖
2472	立隆電
2476	鉅祥
2478	大毅
2483	百容
2484	希華
2492	華新科
2493	揚博
3003	健和興
3015	全漢
3021	鴻名
3023	信邦
3026	禾伸堂
3032	偉訓
3037	欣興
3042	晶技
3044	健鼎
3058	立德
3090	日電貿
3296	勝德
3338	泰碩
3376	新日興
3432	台端
3501	維熹
3533	嘉澤
3550	聯穎
3605	宏致
3607	谷崧
3645	達邁
3653	健策
3679	新至陞
4545	銘鈺
4912	聯德控股
4915	致伸
4927	泰鼎
4943	康控
4958	臻鼎
4999	鑫禾
5469	瀚宇博
6108	競國
6115	鎰勝
6133	金橋
6141	柏承
6153	嘉聯益
6155	鈞寶
6191	精成科
6197	佳必琪
6205	詮欣
6213	聯茂
6224	聚鼎
6269	台郡
6282	康舒
6412	群電
6422	君耀
6449	鈺邦
8039	台虹
8046	南電
8103	瀚荃
8213	志超
8249	菱光
2347	聯強
2414	精技
2430	燦坤
2459	敦吉
3010	華立
3028	增你強
3033	威健
3036	文曄
3048	益登
3055	蔚華科
3209	全科
3528	安馳
3702	大聯大
5434	崇越
6189	豐藝
6281	全國電
8070	長華
8112	至上
2427	三商電
2453	凌群
2468	華經
2471	資通
2480	敦陽科
3029	零壹
3130	一零四
5203	訊連
6112	聚碩
6183	關貿
6214	精誠
2312	金寶
2317	鴻海
2354	鴻準
2359	所羅門
2360	致茂
2373	震旦行
2390	云辰
2404	漢唐
2423	固緯
2433	互盛電
2461	光群雷
2464	盟立
2474	可成
2482	連宇
2488	漢平
2495	普安
2497	怡利電
3018	同開
3030	德律
3305	昇貿
3450	聯鈞
3518	柏騰
3617	碩天
3665	貿聯
5225	東科
6139	亞翔
6192	巨路
6196	帆宣
6201	亞弘電
6215	和椿
6409	旭隼
8021	尖點
1436	華友聯
1442	名軒
1808	潤隆
2501	國建
2506	太設
2509	全坤建
2511	太子
2515	中工
2516	新建
2520	冠德
2527	宏璟
2530	華建
2534	宏盛
2535	達欣工
2536	宏普
2537	聯上發
2538	基泰
2539	櫻花建
2542	興富發
2543	皇昌
2545	皇翔
2546	根基
2548	華固
2597	潤弘
2923	鼎固
3052	夆典
3056	總太
3703	欣陸
5515	建國
5519	隆大
5521	工信
5522	遠雄
5525	順天
5531	鄉林
5533	皇鼎
5534	長虹
6177	達麗
9906	欣巴巴
9946	三發地產
2605	新興
2606	裕民
2607	榮運
2608	大榮
2612	中航
2613	中櫃
2615	萬海
2618	長榮航
2633	台灣高鐵
2634	漢翔
2636	台驊
2637	慧洋
2642	宅配通
2701	萬企
2702	華園
2704	國賓
2706	第一店
2707	晶華
2712	遠雄來
2722	夏都
2723	美食
2727	王品
2731	雄獅
2739	寒舍
2748	雲品
5706	鳳凰
9943	好樂迪
2801	彰銀
2809	京城銀
2812	台中銀
2820	華票
2823	中壽
2832	台產
2834	臺企銀
2836	高雄銀
2838	聯邦銀
2845	遠東銀
2849	安泰銀
2850	新產
2851	中再保
2852	第一保
2855	統一證
2856	元富證
2867	三商壽
2880	華南金
2881	富邦金
2882	國泰金
2883	開發金
2884	玉山金
2885	元大金
2886	兆豐金
2887	台新金
2888	新光金
2889	國票金
2890	永豐金
2891	中信金
2892	第一金
2897	王道銀行
5880	合庫金
6005	群益證
2601	益航
2901	欣欣
2903	遠百
2905	三商
2906	高林
2908	特力
2910	統領
2912	統一超
2913	農林
2915	潤泰全
2929	淘帝
2936	客思達
4807	日成
5907	大洋
8429	金麗
8443	阿瘦
8454	富邦媒
2616	山隆
6505	台塑化
8926	台汽電
9908	大台北
9918	欣天然
9926	新海
9931	欣高
9937	全國
9105	泰金寶
9136	巨騰
9188	精熙
1262	綠悅
1516	川飛
2062	橋椿
2514	龍邦
2904	匯僑
3040	遠見
4536	拓凱
5871	中租
6184	大豐電
6464	台數科
6504	南六
8341	日友
8404	百和興業
8411	福貞
8422	可寧衛
8427	基勝
8442	威宏
8463	潤泰材
8464	億豐
8466	美吉吉
8467	波力
8473	山林水
8480	泰昇
8481	政伸
8488	吉源
9802	鈺齊
9904	寶成
9905	大華
9907	統一實
9910	豐泰
9911	櫻花
9914	美利達
9917	中保
9919	康那香
9921	巨大
9924	福興
9925	新保
9927	泰銘
9928	中視
9930	中聯資源
9933	中鼎
9934	成霖
9938	百和
9939	宏全
9940	信義
9941	裕融
9942	茂順
9944	新麗
9945	潤泰新
0050	元大台灣
0050	元大台灣
0052	富邦科技
1258	其祥
1264	德麥
4205	中華食
4305	世坤
8354	冠好
9950	萬國通
4401	東隆興
4417	金洲
4420	光明
4429	聚紡
4432	銘旺實
4433	興采
1566	捷邦
1570	力肯
1580	新麥
1591	駿吉
1597	直得
1599	宏佳騰
2066	世德
2230	泰茂
2233	宇隆
2235	謚源
3226	至寶電
3426	台興
4502	健信
4506	崇友
4510	高鋒
4523	永彰
4527	方土霖
4528	江興鍛
4533	協易機
4534	慶騰
4535	至興
4543	萬在
4549	桓達
4550	長佳
6603	富強鑫
6609	瀧澤科
8027	鈦昇
8083	瑞穎
8255	朋程
9951	皇田
1787	福盈科
4706	大恭
4707	磐亞
4711	永純
4714	永捷
4716	大立
4721	美琪瑪
4739	康普
4754	國碳科
4762	三汰
6506	雙邦
6509	聚和
1565	精華
1593	祺驊
1752	南光
1777	生泰
1788	杏昌
1813	寶利徠
3118	進階
3205	佰研
3218	大學光
4103	百略
4105	東洋
4107	邦特
4109	穆拉德加捷
4111	濟生
4114	健喬
4116	明基醫
4120	友華
4123	晟德
4126	太醫
4129	聯合
4130	健亞
4138	曜亞
4161	聿新科
4162	智擎
4163	鐿鈦
4173	久裕
4175	杏一
4183	福永生技
4735	豪展
4736	泰博
4745	合富
4747	強生
6242	立康
6469	大樹
6472	保瑞
6496	科懋
6523	達爾膚
6554	中美冠科
6569	醫揚
8279	生展
8403	盛弘
8406	金可
8432	東生華
8436	大江
2063	世鎧
2064	晉椿
2065	世豐
5009	榮剛
5011	久陽
5013	強新
5014	建錩
5015	華祺
5016	松和
6248	沛波
8349	矬
8415	大國鋼
8930	青鋼
9962	有益
5102	富強
3105	穩懋
3122	笙泉
3141	晶宏
3169	亞信
3227	原相
3260	威剛
3264	欣銓
3265	台星科
3527	聚積
3529	力旺
3555	重鳥鵬
3556	禾瑞亞
3567	逸昌
3581	博磊
3675	德微
3680	家登
3707	漢磊
4947	昂寶
4966	譜瑞
4973	廣穎
4991	環宇
5272	笙科
5274	信驊
5347	世界
5425	台半
5483	中美晶
5487	通泰
6104	創惟
6138	茂達
6147	頎邦
6223	旺矽
6229	研通
6237	驊訊
6261	久元
6411	晶焱
6435	大中
6457	紘康
6485	點序
6488	環球晶
6494	九齊
6510	精測
6532	瑞耘
6568	宏觀
6594	展匯科
8024	佑華
8054	安國
8086	宏捷科
8088	品安
1569	濱川
3088	艾訊
3211	順達
3213	茂訊
3272	東碩
3323	加百裕
3325	旭品
3479	安勤
3483	力致
3540	曜越
3577	泓格
3594	磐儀
3611	鼎翰
3652	精聯
3693	營邦
4987	科誠
5289	宜鼎
5356	協益
5384	捷元
5386	青雲
5426	振發
5438	東友
5474	聰泰
5490	同亨
6105	瑞傳
6121	新普
6123	上奇
6160	欣技
6161	捷波
6188	廣明
6298	崴強
6577	勁豐
8050	廣積
8076	伍豐
8234	新漢
8299	群聯
8410	森田
3128	昇銳
3297	杭特
3362	先進光
3428	光燿科
3434	哲固
3441	聯一光
3455	由田
3490	單井
3531	先益
3562	頂晶科
3615	安可
3623	富晶通
3666	光耀
3691	碩禾
4933	友輝
4972	湯石照明
4995	晶達
5230	雷笛克光學
5245	智晶
5251	天鉞電
5281	大峽谷
5315	光聯
5371	中光電
5392	應華
5443	均豪
6125	廣運
6234	高僑
6244	茂迪
6246	臺龍
6548	長華科
6560	欣普羅
7402	邑錡
8049	晶采
8064	東捷
8069	元太
3068	美磊
3081	聯亞
3152	璟德
3163	波若威
3221	台嘉碩
3234	光環
3290	東浦
3299	帛漢
3306	鼎天
3363	上詮
3466	致振
3491	昇達科
3558	神準
3564	其陽
3632	研勤
3672	康聯訊
3684	榮昌
4905	台聯電
4908	前鼎
4909	新復興
5353	台林
6109	亞元
6143	振曜
6170	統振
6190	萬泰科
6218	豪勉
6245	立端
6263	普萊德
6417	韋僑
6426	統新
6465	威潤
6470	宇智
6486	互動
6514	芮特
8048	德勝
8059	凱碩
8176	智捷
1595	川寶
1815	富喬
3078	僑威
3092	鴻碩
3114	好德
3144	新揚科
3202	樺晟
3206	志豐
3217	優群
3236	千如
3276	宇環
3294	英濟
3310	佳穎
3332	幸康
3354	律勝
3388	崇越電
3390	旭軟
3484	崧騰
3492	長盛
3511	矽瑪
3526	凡甲
3537	堡達
3548	兆利
3624	光頡
3646	艾恩特
3689	湧德
4974	亞泰
5255	美桀
5328	華容
5349	先豐
5439	高技
5460	同協
5464	霖宏
5480	統盟
5488	松普
5491	連展
6114	久威
6127	九豪
6156	松上
6158	禾昌
6173	信昌電
6174	安
6175	立敦
6185	幃翔
6194	育富
6203	海韻電
6204	艾華
6207	雷科
6208	日揚
6210	慶生
6217	中探針
6220	岳豐
6266	泰詠
6274	台燿
6279	胡連
6284	佳邦
6290	良維
6292	迅德
6432	今展科
6538	倉和
8042	金山電
8043	蜜望實
8071	能率豐
8074	鉅橡
8091	翔名
8109	博大
8147	正淩
8155	博智
8182	加高
8287	英格爾
8289	泰藝
3360	尚立
3444	利機
6107	華美
6154	順發
6227	茂綸
6270	倍微
8032	光菱
3570	大塚
4953	緯軟
4965	商店街
5209	新鼎
5211	蒙恬
5212	凌網
5287	數字
5403	中菲
5410	國眾
6221	晉泰
6231	系微
8044	網家
8099	大世科
8416	實威
8472	夠麻吉
8477	創業家
3093	港建
3131	弘塑
3285	微端
3289	宜特
3303	岱稜
3324	雙鴻
3373	熱映
3402	漢科
3498	陽程
3541	西柏
3551	世禾
3552	同致
3563	牧德
3587	閎康
3628	盈正
3663	鑫科
4554	橙的
5452	佶優
5489	彩富
5493	三聯
5536	聖暉
6146	耕興
6151	晉倫
6187	萬潤
6238	勝麗
6247	淇譽電
6275	元山
6438	迅得
6512	啟發電
8047	星雲
8183	精星
8383	千附
8455	大拓
2596	綠意
3489	森寶
4113	聯上
4416	三圓
5206	坤悅
5213	亞昕
5508	永信建
5511	德昌
5512	力麒
5514	三豐
5520	力泰
5543	崇佑
6171	亞銳士
6186	新潤
6212	理銘
6219	富旺
8424	惠普
2641	正德
2643	捷迅
5601	台聯櫃
5603	陸海
5604	中連貨
5609	中菲行
1259	安心
2718	晶悅
2726	雅茗
2729	瓦城
2732	六角
2736	高野
2928	紅馬
4804	大略
5364	力麗店
5703	亞都
8462	柏文
5820	日盛金
5878	台名
6020	大展證
6023	元大期
6024	群益期
6026	福邦證
2916	滿心
2924	東凌
2937	集雅社
3171	新洲
5903	全家
5904	寶雅
5905	南仁湖
6195	詩肯
8066	來思達
8433	弘帆
8941	關中
9960	邁達康
8908	欣雄
8917	欣泰
8931	大汽電
2926	誠品生活
3293	鈊象
3546	宇峻
4806	昇華
5263	智崴
5478	智冠
6482	弘煜科
6542	隆中
8446	華研
8450	霹靂
8489	三貝德
8923	時報
6508	惠光
2221	大甲
2640	大車隊
3284	太普高
4430	耀億
4541	晟田
4556	旭然
4950	牧東
5276	達輝
5306	桂盟
5312	寶島科
5530	龍巖
6179	亞通
6294	智基
6803	崑鼎
8390	金益鼎
8401	白紗科
8418	捷必勝
8420	明揚
8421	旭源
8423	保綠
8426	紅木
8435	鉅邁
8437	大地
8444	綠河
8476	台境
8905	裕國
8913	全銓
8916	光隆
8921	沈氏
8928	鉅明
8929	富堡
8933	愛地雅
8938	明安
8942	森鉅
